rank,name,followers,er,country,topic_of_influence,potential_reach,channel_name,total_subscribers,total_views,total_videos
65,Kenia Os @UCgDeSlu4pNSRrv87ScB0VaQ,7.3M,-,Mexico,,2.2M,Lizos Music,7720000,11070040826,752
66,HGamesYT @UCDIR_PyWFrNXfzbG0pPHdIQ,7.2M,0.10%,Mexico,,2.2M,Dankev,8640000,2792286948,2202
67,Lizos Music @UCQ50aIYbavhpfVc9PKU9qrg,7.2M,-,Mexico,Music,2.2M,El Tío Néstor,16900000,5926585221,1422
68,Dankev @UCHrHJ9PDhruY9XF5WXJ4a7g,7M,0.60%,Mexico,,2.1M,La Bala,6890000,1013040429,458
69,El Tío Néstor @UCLKqPeUlDBTxDe2x8QTpLlg,7M,-,Mexico,Celebrity,2.1M,UPDT,6810000,2599469599,1493
70,La Bala @UCgWTcPsEX0VczNmuHs5eo_Q,7M,0.20%,Mexico,,2.1M,Talking Tom & Friends Español,8990000,3590520034,788
71,Un Poco De Todo @UCAB3buuWw0yMx9ca_rWwQiA,7M,-,Mexico,,2.1M,123 GO! GOLD Spanish,7290000,3265954122,1472
72,Talking Tom & Friends Español @UCC9R-cxQeOpPhq2lAru0V8w,6.9M,-,Mexico,,2.1M,RemexMusic,7370000,7009877222,3827
73,123 GO! GOLD Spanish @UCeCfdHkqTcC7atfxNE7X38Q,6.9M,-,Mexico,,2.1M,elmundoDKBza,7440000,1413362257,1475
74,RemexMusic @UChX2haJZZJOtIIrdqLPvQWA,6.8M,-,Mexico,Music,2.1M,Grupo Firme,8600000,8158524316,152
75,elmundoDKBza @UCkA-23QaQsiWAgbrM0DaI6w,6.8M,0.30%,Mexico,,2M,Chingu amiga,13600000,9465160799,1601
76,Grupo Firme @UCFlC8U0Uif2hF0FIgsSIIYQ,6.8M,3%,Mexico,,2M,NANDO,19000000,2452612245,431
77,Chingu amiga @UCL0bN6THhHVBwRPsXKOhAHg,6.8M,-,Mexico,,2M,Nickelodeon en Español,9850000,5512165202,4402
78,NANDO @UCqma_8hr8yOgr37wdUY-E7Q,6.7M,-,Mexico,,2M,Carolina Díaz,6640000,755966292,663
79,Nickelodeon en Español @UCNeq3Obf4zOv5rhORI8Vz5g,6.5M,-,Mexico,,2M,Andrea Zuñiga,6390000,368480128,285
